,Title,Job Type,Company Name,Company Industry,Company City,Company Country,Salary Avg,Salary Min,Salary Max,Experience,Min Experience,Max Experience,Skills,Published
67,Senior Data Scientist - Analytics,Full-time,Ajaib,Investment tools and platforms,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Warehouse', 'Analytics', 'Data Science', 'Data Analysis']",2021-12-20 06:29:24
68,Product Data Analyst,Full-time,Glints,Social Recruiting,Jakarta,Indonesia,0,0,0,0-1,0,1,"['MySQL', 'Tableau', 'Data Analysis']",2021-12-08 03:33:23
69,Business Data Analyst,Full-time,PT Five Jack (Itemku),Marketplaces (miscellaneous niche),Indonesia Bulk Terminal,Indonesia,8000000,7000000,9000000,0-1,0,1,"['Databases', 'Relational Databases', 'Python', 'SQL', 'Microsoft Excel', 'Tableau']",2021-12-02 10:14:48
70,Senior Data Engineer,Full-time,Rukita,Marketplaces (Property),Jakarta,Indonesia,22500000,20000000,25000000,4-7,4,7,"['Java', 'Python', 'R', 'Big Data', 'Data Mining']",2021-11-23 05:03:17
71,Sr. Data Scientist,Full-time,KoinWorks,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Python', 'Data Science', 'R', 'Machine Learning', 'Big Data', 'Clustering']",2021-11-21 14:39:29
72,Senior Data Analyst - Calling System and Leads Services,Full-time,LifePal,Insurance tech,Jakarta,Indonesia,18500000,12000000,25000000,1-4,1,4,"['Microsoft PowerPoint', 'MySQL', 'Data Warehouse', 'DBMS', 'Relational Databases', 'DevOps', 'Data Visualization', 'Web Analytics', 'Analytics', 'Python', 'Analytics & Reporting', 'Data Science', 'Business Analysis', 'Data Management', 'Microsoft Excel', 'CRM', 'A/B Testing', 'Google Analytics', 'Statistical Analysis', 'Data Analysis', 'Team Leadership', 'Agile Project Management', 'Design Thinking', 'Data Mining']",2022-01-03 06:04:24
73,Senior Data Analyst,Full-time,SehatQ,Health & Wellness,Jakarta,Indonesia,16500000,10000000,23000000,1-4,1,4,"['Microsoft Excel', 'Google Analytics', 'Business Intelligence', 'Tableau']",2021-12-28 05:00:09
74,Head of Data,Full-time,Aplikasi Super,Ecommerce logistics,Indonesia Bulk Terminal,Indonesia,22500000,15000000,30000000,4-7,4,7,"['Data Warehouse', 'Data Visualization', 'Data Science', 'Data Management', 'Big Data', 'Data Analysis']",2021-12-23 10:29:31
75,Head of Data,Full-time,PT Koltiva,Agriculture Tech,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Databases', 'Automation', 'Data Warehouse', 'Agile', 'Relational Databases', 'Data Science', 'Data Management', 'Leadership', 'Scrum', 'Data Analysis', 'English Language', 'Team Leadership']",2021-12-18 02:46:44
76,Head of Data ,Full-time,Sampingan,Social Recruiting,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Data Science', 'Big Data', 'Data Analysis']",2021-12-01 09:11:35
77,Sales Specialist- Data Centre,Full-time,SabiKerja,Human Resource,Jakarta,Indonesia,22500000,20000000,25000000,1-4,1,4,"['Engineering', 'Big Data', 'Negotiation', 'Sales & Marketing']",2021-12-10 11:59:17
78,Farm to Table Data Officer,Full-time,PT Koltiva,Agriculture Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['MySQL', 'SAS', 'SPSS', 'Microsoft Excel']",2021-11-29 02:00:33
79,Producer and SME Data Officer,Full-time,PT Koltiva,Agriculture Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['MySQL', 'SAS', 'SPSS', 'Microsoft Excel', 'Google Analytics']",2021-11-29 01:40:38
80,Fresh Graduate Business Data Technical Analyst,Full-time,Deliveree Indonesia,Logistics,Jakarta,Indonesia,5625000,5250000,6000000,0-1,0,1,"['Databases', 'Relational Databases', 'Data Visualization', 'Analytics', 'Analytics & Reporting', 'Business Analysis', 'Data Management', 'Business Intelligence', 'Data Analysis', 'Data Mining']",2021-11-26 06:39:05
81,Backend Developer (Golang),Full-time,DataOn Corp,Software,Tangerang,Indonesia,11000000,7000000,15000000,1-4,1,4,"['Golang', 'SQL', 'APIs']",2022-01-12 04:40:16
82,Senior Fullstack Developer (Angular & .NET Core),Full-time,DataOn Corp,Software,Jakarta,Indonesia,25000000,15000000,35000000,4-7,4,7,"['SQL Server', '.NET', 'Angular']",2022-01-12 04:39:53
83,Senior Frontend Developer (React JS),Full-time,DataOn Corp,Software,Tangerang,Indonesia,10500000,6000000,15000000,1-4,1,4,"['React.js', 'Javascript', 'Javascript Frameworks']",2022-01-12 04:39:22
84,HR Business Analyst,Full-time,DataOn Corp,Software,Indonesia Bulk Terminal,Indonesia,11500000,8000000,15000000,4-7,4,7,"['Human Resources', 'Business Analysis', 'Analytical Skills']",2021-12-16 06:47:14
85,Senior Software Quality Assurance (QA) Engineer,Full-time,DataOn Corp,Software,Indonesia Bulk Terminal,Indonesia,15000000,10000000,20000000,4-7,4,7,"['Jenkins', 'Selenium', 'APIs']",2021-12-07 10:19:47
86,Implementation Consultant,Full-time,DataOn Corp,Software,Indonesia Bulk Terminal,Indonesia,6500000,5000000,8000000,0-1,0,1,"['MySQL', 'Javascript', 'PHP', 'Java']",2021-12-02 03:46:39
87,Software Account Manager,Full-time,DataOn Corp,Software,Tangerang,Indonesia,8000000,6000000,10000000,1-4,1,4,"['Sales', 'Enterprise Software', 'SaaS']",2021-12-02 03:41:27
88,Head of Marketing,Full-time,DataOn Corp,Software,Tangerang,Indonesia,20000000,15000000,25000000,4-7,4,7,"['Marketing Strategy', 'SEO/SEM', 'Email Marketing', 'Social Media Marketing', 'Content Marketing', 'Digital Marketing', 'Copywriting & Editing', 'Marketing Management', 'Marketing Communications']",2021-11-30 06:54:36
89,Junior Client Solutions,Full-time,IlmuOne Data,IT & Cybersecurity,Jakarta,Indonesia,7500000,5000000,10000000,1-4,1,4,"['Javascript', 'Analytics & Reporting', 'Microsoft Excel', 'Customer Development', 'Google Analytics']",2021-12-15 08:07:49
90,System Analyst,Contract,PT Oktagon Global Utama,Web Development,Tangerang,Indonesia,10000000,8000000,12000000,1-4,1,4,"['Databases', 'Analytics', 'Analytical Skills']",2022-01-17 11:15:46
91,Business Intelligence Analyst,Full-time,Ruangguru.com,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['MySQL', 'Data Warehouse', 'Data Visualization', 'SQL', 'Business Intelligence', 'Data Analysis']",2022-01-17 02:41:16
92,Machine Learning Engineer,Full-time,Ruangguru.com,Education Tech,Indonesia Bulk Terminal,Indonesia,0,0,0,1-4,1,4,"['Automation', 'Python', 'Data Science', 'Natural Language Processing (NLP)', 'Machine Learning']",2022-01-17 02:38:42
93,Quantitative Research Senior Executive,Full-time,Populix,Market Research,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Market Research & Analysis', 'Business Analysis', 'Research', 'Market Research']",2022-01-14 08:13:56
94,Business Analyst,Full-time,PT Barito Integra Teknologi,Software,Jakarta,Indonesia,0,0,0,1-4,1,4,"['SQL Server', 'Business Analysis', 'SQL', 'Business Development', 'PostgreSQL', 'New Business Development', 'Microsoft Excel', 'Business Plan', 'Business Planning', 'Business Strategy', 'Business Intelligence']",2022-01-14 04:55:09
95,Senior Business Intelligence (Urgently Needed),Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Data Warehouse', 'Data Visualization', 'Data Management', 'Big Data', 'Data Analysis']",2022-01-14 02:35:59
96,Market Research,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Statistics', 'Market Research & Analysis', 'Market Research', 'Data Analysis']",2022-01-13 10:08:01
97,Product Analyst,Full-time,KoinWorks,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['MySQL', 'Python', 'Business Analysis', 'SQL', 'Google Analytics', 'Tableau']",2022-01-13 07:42:19
98,Market Research Assistant Manager,Full-time,PT Erajaya Swasembada Tbk.,Retail (general),Jakarta,Indonesia,12000000,10000000,14000000,4-7,4,7,"['Sales Strategy & Management', 'Business Development', 'Marketing', 'Sales & Marketing']",2022-01-11 03:28:30
99,Senior Business Analyst,Full-time,Bintango,Social Media Platforms,Jakarta,Indonesia,22500000,20000000,25000000,4-7,4,7,"['SQL', 'Google Analytics', 'Data Analysis']",2022-01-10 11:56:24
100,Seller Management Staff,Full-time,PT Five Jack (Itemku),Marketplaces (miscellaneous niche),Jakarta,Indonesia,7000000,6000000,8000000,1-4,1,4,"['Business Analysis', 'Product Management', 'Communication Skills']",2022-01-10 10:01:48
101,Business Intelligence,Full-time,GGL Life,Health & Wellness,Surabaya,Indonesia,0,0,0,1-4,1,4,"['Data Visualization', 'SQL', 'Business Intelligence', 'Tableau']",2022-01-07 06:19:30
102,SEO Specialist,Full-time,GGL Life,Health & Wellness,Surabaya,Indonesia,0,0,0,1-4,1,4,"['SEO/SEM', 'Google Analytics', 'WordPress', 'CMS']",2022-01-07 06:15:27
103,Business Intelligence Analyst Manager,Full-time,Andalin,Logistics,Jakarta,Indonesia,13500000,12000000,15000000,1-4,1,4,"['Python', 'Forecasting', 'Business Analysis', 'SQL', 'Google Analytics', 'Analytical Skills', 'Tableau', 'Data Analysis']",2022-01-07 03:49:42
104,Informatica Trainer,Full-time,Indocyber Global Teknologi,IT & Cybersecurity,Indonesia Bulk Terminal,Indonesia,0,0,0,4-7,4,7,"['Databases', 'Data Management', 'Big Data', 'Data Analysis']",2022-01-06 10:07:59
105,Talend Trainer,Full-time,Indocyber Global Teknologi,IT & Cybersecurity,Indonesia Bulk Terminal,Indonesia,0,0,0,4-7,4,7,"['Business Intelligence', 'Information Technology', 'Data Analysis']",2022-01-05 09:21:22
106,Business Intelligence,Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,9500000,9000000,10000000,1-4,1,4,"['SQL', 'Google Analytics', 'Tableau']",2022-01-05 07:39:09
107,Policy and Quality Assurance - Amar Bank's Product,Full-time,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Analytics', 'Analytics & Reporting', 'Risk Analysis', 'Analytical Skills', 'Data Analysis']",2022-01-04 11:09:09
108,Business Intelligence Analyst,Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Visualization', 'SQL Server', 'SQL', 'Tableau', 'Data Analysis']",2022-01-04 09:15:33
109,Business Analytics,Full-time,99.co,Marketplaces (Property),Jakarta,Indonesia,0,0,0,1-4,1,4,"['SQL', 'Google Analytics', 'Data Analysis']",2022-01-04 09:15:01
110,BI Engineer,Full-time,PT Koltiva,Agriculture Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['MySQL', 'SAS', 'SPSS', 'Engineering', 'PostgreSQL', 'Microsoft Excel', 'Google Analytics', 'Business Intelligence', 'Data Analysis']",2022-01-04 08:20:06
111,Reporting and Performance Analytic Specialist,Full-time,Halodoc ID,Health & Wellness,Setiabudi,Indonesia,9500000,7000000,12000000,1-4,1,4,"['MySQL', 'Databases', 'Data Warehouse', 'SAS', 'Data Visualization', 'SPSS', 'Data Analysis', 'Data Mining']",2022-01-02 15:13:53
112,CX Tools & Analytics ,Full-time,Mekari (PT. Mid Solusi Nusantara),Enterprise Software,Jakarta,Indonesia,6500000,5000000,8000000,1-4,1,4,"['Analytics', 'Analytics & Reporting', 'Metrics', 'Analytical Skills']",2021-12-21 03:13:52
113,Senior Business Analyst - BINUS Digital,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Technology', 'Market Research & Analysis', 'Microsoft Office', 'Business Planning', 'Business Strategy', 'Communication Skills', 'Information Technology']",2021-12-20 01:53:25
114,Business Analyst - BINUS Digital,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Technology', 'Programming', 'Communication Skills']",2021-12-15 05:31:03
115,Senior Business Intelligence Analyst,Full-time,Mekari (PT. Mid Solusi Nusantara),Enterprise Software,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Big Data', 'Business Intelligence', 'Data Analysis']",2021-12-14 10:34:42
116,Business Intelligence ,Full-time,Halodoc ID,Health & Wellness,Jakarta,Indonesia,13000000,8000000,18000000,4-7,4,7,"['SQL', 'Big Data', 'Data Analysis']",2021-12-14 07:30:56
